data,casosAcumulado
2023-01-01,148278
2023-01-02,148412
2023-01-03,148509
2023-01-04,148653
2023-01-05,148781
2023-01-06,148868
2023-01-07,148868
2023-01-08,148868
2023-01-09,148868
2023-01-10,148868
2023-01-11,149400
2023-01-12,149512
2023-01-13,149551
2023-01-14,149551
2023-01-15,149551
2023-01-16,149965
2023-01-17,150104
2023-01-18,150231
2023-01-19,150231
2023-01-20,150542
2023-01-21,150542
2023-01-22,150542
2023-01-23,150991
2023-01-24,151146
2023-01-25,151221
2023-01-26,151221
2023-01-27,151593
2023-01-28,151593
2023-01-29,151593
2023-01-30,151850
2023-01-31,151949
2023-02-01,152077
2023-02-02,152077
2023-02-03,152255
2023-02-04,152255
2023-02-05,152255
2023-02-06,152573
2023-02-07,152634
2023-02-08,152645
2023-02-09,152648
2023-02-10,152651
2023-02-11,152651
2023-02-12,152651
2023-02-13,152809
2023-02-14,152809
2023-02-15,152814
2023-02-16,152814
2023-02-17,152814
2023-02-18,152814
2023-02-19,152814
2023-02-20,152814
2023-02-21,152814
2023-02-22,152814
2023-02-23,153184
2023-02-24,153184
